근린공원 및 주거시설 근처/산업도로 가는길 인근(속도 높을것으로 예상됨)/관공서 근처/학교 근처,주정차 단속 카메라
근린공원 및 주거시설,시야방해 홍보물 단속(우회전시)
사고 날만한게 없음/ 주택가 인근,주택가 근처 감속 표지판
주택가 클러스터 정중앙/ 많은 주정차 좁은 차도,과속방지턱/ 주정차 단속
감속 안해도 우회전 할 수 있는 구조/ 과속이나 겨울철 미끄럼방지 (코너링이 미끄러워 보임),코너에 과속방지턱/ 미끄럼 방지 포장
유동인구가 없는 도로여서 도로 환경 매우 열악,삼거리 진입전 과속방지턱/ 도로 안전선 페인팅 다시/ 삼거리 진입전 정지선 페인팅
생활도로구역/ 2차선임에도 주정차가 많음(시야방해)/ 횡단보도와 거리가 멀고 감속 장치 없음,가드펜스/ 주정차 단속
매우 넓은 4거리,횡단보도 섬
신호 받으려고 달리다가 늦게 멈춰서 횡단보도에 걸치는 경우 많아 보임/ 매우 혼잡한 4거리,과속방지카메라
다음 횡단보도까지 거리가 멀다,가드펜스
매우 넓은 사거리,횡단보도 섬
마트 주차장 진입로,주차 차량 진입 통로와 인도 분리 필요
횡단보도가 없음,횡단보도 설치
교차로 진입로에 과속 방지턱 부재,과속 방지턱
한쪽에만 가드펜스 있음,가드 펜스
주차장임/ 초등학교에서 3블록 거리(주택 있음),도로반사경
도로끝/인도와 합쳐지는 도로에 버스 정류장 위치하기에 진입하는 차량의 시야 차단 가능,횡단보도 설치/ 버스 정류장 이전
산업도로/ 횡단보도가 없고 육교만 존재,가드펜스
운암중학교에서 매우 멀지만 스쿨존/ 대부분 안전장비 갖춰짐/ 도로공사중,과속방지턱
아파트 단지 바로 앞/ 긴 횡단보도,보행자 신호등에 타이머